date,ticker,field,value
2013-08-27,MEXBOL Index,PX_HIGH,40427.68
2013-08-27,MEXBOL Index,PX_VOLUME,266715200.0
2013-08-28,MEXBOL Index,PX_OPEN,39653.75
2013-08-28,MEXBOL Index,PX_LAST,39248.07
2013-08-28,MEXBOL Index,PX_LOW,39244.59
2013-08-28,MEXBOL Index,PX_HIGH,39833.69
2013-08-28,MEXBOL Index,PX_VOLUME,229868700.0
2013-08-29,MEXBOL Index,PX_OPEN,39248.71
2013-08-29,MEXBOL Index,PX_LAST,39162.49
2013-08-29,MEXBOL Index,PX_LOW,38953.09
2013-08-29,MEXBOL Index,PX_HIGH,39527.54
2013-08-29,MEXBOL Index,PX_VOLUME,274582500.0
2013-08-30,MEXBOL Index,PX_OPEN,39157.33
2013-08-30,MEXBOL Index,PX_LAST,39484.46
2013-08-30,MEXBOL Index,PX_LOW,39148.08
2013-08-30,MEXBOL Index,PX_HIGH,39687.6
2013-08-30,MEXBOL Index,PX_VOLUME,1759231000.0
2013-09-02,MEXBOL Index,PX_OPEN,39491.13
2013-09-02,MEXBOL Index,PX_LAST,40129.04
2013-09-02,MEXBOL Index,PX_LOW,39491.13
2013-09-02,MEXBOL Index,PX_HIGH,40176.91
2013-09-02,MEXBOL Index,PX_VOLUME,91287250.0
2013-09-03,MEXBOL Index,PX_OPEN,40132.85
2013-09-03,MEXBOL Index,PX_LAST,39541.51
2013-09-03,MEXBOL Index,PX_LOW,39352.72
2013-09-03,MEXBOL Index,PX_HIGH,40377.86
2013-09-03,MEXBOL Index,PX_VOLUME,230622400.0
2013-09-04,MEXBOL Index,PX_OPEN,39541.84
2013-09-04,MEXBOL Index,PX_LAST,39773.53
2013-09-04,MEXBOL Index,PX_LOW,39403.73
2013-09-04,MEXBOL Index,PX_HIGH,39986.0
2013-09-04,MEXBOL Index,PX_VOLUME,215314900.0
2013-09-05,MEXBOL Index,PX_OPEN,39725.98
2013-09-05,MEXBOL Index,PX_LAST,39686.45
2013-09-05,MEXBOL Index,PX_LOW,39558.84
2013-09-05,MEXBOL Index,PX_HIGH,39863.29
2013-09-05,MEXBOL Index,PX_VOLUME,158497700.0
2013-09-06,MEXBOL Index,PX_OPEN,39690.8
2013-09-06,MEXBOL Index,PX_LAST,39915.06
2013-09-06,MEXBOL Index,PX_LOW,39580.73
2013-09-06,MEXBOL Index,PX_HIGH,40216.56
2013-09-06,MEXBOL Index,PX_VOLUME,212795900.0
2013-09-09,MEXBOL Index,PX_OPEN,39916.22
2013-09-09,MEXBOL Index,PX_LAST,40953.85
2013-09-09,MEXBOL Index,PX_LOW,39846.11
2013-09-09,MEXBOL Index,PX_HIGH,41019.26
2013-09-09,MEXBOL Index,PX_VOLUME,225181500.0
2013-09-10,MEXBOL Index,PX_OPEN,40958.99
2013-09-10,MEXBOL Index,PX_LAST,41732.98
2013-09-10,MEXBOL Index,PX_LOW,40822.03
2013-09-10,MEXBOL Index,PX_HIGH,41732.98
2013-09-10,MEXBOL Index,PX_VOLUME,265329500.0
2013-09-11,MEXBOL Index,PX_OPEN,41744.13
2013-09-11,MEXBOL Index,PX_LAST,41640.53
2013-09-11,MEXBOL Index,PX_LOW,41403.44
2013-09-11,MEXBOL Index,PX_HIGH,42158.14
2013-09-11,MEXBOL Index,PX_VOLUME,226087600.0
2013-09-12,MEXBOL Index,PX_OPEN,41637.54
2013-09-12,MEXBOL Index,PX_LAST,40785.68
2013-09-12,MEXBOL Index,PX_LOW,40692.94
2013-09-12,MEXBOL Index,PX_HIGH,41656.39
2013-09-12,MEXBOL Index,PX_VOLUME,149898100.0
2013-09-13,MEXBOL Index,PX_OPEN,40797.64
2013-09-13,MEXBOL Index,PX_LAST,41122.47
2013-09-13,MEXBOL Index,PX_LOW,40745.03
2013-09-13,MEXBOL Index,PX_HIGH,41183.04
2013-09-13,MEXBOL Index,PX_VOLUME,145967200.0
